,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,novogratz,Sun Mar 18 14:51:49 +0000 2018,975384281970167808,@Kidink6565 I’m unfortunately in a blackout period due to our deal.,4,0,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",-0.34,0.0,0.211,0.789
1,novogratz,Sun Mar 18 13:22:14 +0000 2018,975361740224548865,@MikeBucella @AriDavidPaul @matthewgoetz @Melt_Dem @namdar @BKBrianKelly That is funny,26,0,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.4404,0.266,0.0,0.734
2,novogratz,Sat Mar 17 15:30:58 +0000 2018,975031749288906752,@tigerwrestling Bravo.,1,0,pt,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.0,0.0,0.0,1.0
3,novogratz,Sat Mar 17 14:08:18 +0000 2018,975010944005955589,@Benaskren Let’s remember he is a young kid whose actions merit some discipline.  I would hope he apologizes and I… https://t.co/NLZjYsmrGI,18,0,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.802,0.339,0.0,0.661
4,novogratz,Fri Mar 16 13:47:32 +0000 2018,974643330784071682,@tigercoachayres Was a good run.,6,0,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.4404,0.492,0.0,0.508
5,novogratz,Wed Mar 14 14:27:00 +0000 2018,973928488330846208,A very graceful response. https://t.co/twVjdOZX1Q,211,33,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.5095,0.523,0.0,0.477
6,novogratz,Sat Mar 10 04:00:35 +0000 2018,972321292996235264,@jimlewis41 Send me an email at mike@galaxyip.com,0,0,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.0,0.0,0.0,1.0
7,novogratz,Sun Mar 04 03:23:50 +0000 2018,970137716540100609,@tigerwrestling Great day team.  Proud of your effort.,18,3,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.802,0.545,0.0,0.455
8,novogratz,Fri Mar 02 14:37:24 +0000 2018,969582447137497088,"@AriDavidPaul @twobitidiot @mt_1466 @cburniske @VitalikButerin Ari, in limited supply systems you have to assume th… https://t.co/nLAsc7jb44",45,4,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",-0.2263,0.0,0.112,0.888
9,novogratz,Thu Mar 01 19:30:59 +0000 2018,969293943048302592,So excited. https://t.co/VCroU0b8lZ,89,1,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.4005,0.574,0.0,0.426
10,novogratz,Mon Feb 26 12:16:36 +0000 2018,968097464837324800,@MikaelaShiffrin You deserve all the sleep your body wants.   Sleep away.,10,1,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.0,0.0,0.0,1.0
11,novogratz,Mon Feb 26 12:12:02 +0000 2018,968096314746548230,@laurashin It’s a problem that goes far deeper than crypto.  At the big hedge fund conferences there were times I’d… https://t.co/2FIxTZxDWS,147,18,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",-0.4019,0.0,0.124,0.876
12,novogratz,Sat Feb 24 15:25:56 +0000 2018,967420334365265920,@that_dude_JO Three timers get free tickets. #robbed.  I have one for you if you are still looking.  Will mean you… https://t.co/SfR9KBsEm4,20,0,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.5106,0.148,0.0,0.852
13,novogratz,Fri Feb 23 15:00:28 +0000 2018,967051538102472706,@Whaleblockchain Thank you,2,1,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.3612,0.556,0.0,0.444
14,novogratz,Wed Feb 21 11:41:02 +0000 2018,966276573203660801,"RT @BuddyCarter_FL: Very practical advice on getting started in crypto, intellectually and financially by .@novogratz .@suna_said .@MilkenI…",0,53,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.34,0.13,0.0,0.87
15,novogratz,Tue Feb 20 17:24:45 +0000 2018,966000687225110530,@twobitidiot I love this idea.,38,3,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.6369,0.583,0.0,0.417
16,novogratz,Sun Feb 18 10:47:50 +0000 2018,965176023871471616,RT @CryptoAmbit: High quality panel discussion with @novogratz @winklevoss @tylerwinklevoss Worth the full watch. Very interesting theory o…,0,84,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.5984,0.234,0.0,0.766
17,novogratz,Mon Feb 12 13:01:25 +0000 2018,963035313030430720,"To clarify my last tweet, I leave SA with a strong impression that MBS and his government are moving things in the… https://t.co/6RPPMU1IlM",269,20,en,Sun Feb 01 04:53:57 +0000 2009,80517,"New York, NY",0.6124,0.213,0.049,0.738
