,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,woonomic,Sun Mar 18 04:43:08 +0000 2018,975231102154506240,ICOs in 2018 be like... https://t.co/PPlWxcRPiI,60,16,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,0.0,0.0,0.0,1.0
1,woonomic,Wed Mar 14 00:59:36 +0000 2018,973725298444328960,"I think the SEC should do an ICO to solve their funding shortfall for policing ICOs, it would also help them unders… https://t.co/5yv1LMF5MJ",501,107,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,0.5423,0.184,0.0,0.816
2,woonomic,Wed Mar 14 00:00:05 +0000 2018,973710320945414144,"@Blockch09940168 Nope, not at all. Classic NVT Ratio is laggy, but NVT Signal is responsive enough to call the top.… https://t.co/N6XKA6YlmS",5,0,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,0.5023,0.14,0.0,0.86
3,woonomic,Tue Mar 13 23:57:44 +0000 2018,973709729305280512,@WallSt_Dropout NVT Ratio is laggy. But reliable in the dead cat phase. It's also a good indicator into what part o… https://t.co/csXY6QZ0JE,8,0,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,-0.34,0.111,0.164,0.725
4,woonomic,Tue Mar 13 23:54:36 +0000 2018,973708939714965504,"@nirvanadev NVT tracks value throughput on the blockchain, whether you batch transactions, or use Segwit, it doesn'… https://t.co/azA3AjZaTU",17,1,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,0.34,0.124,0.0,0.876
5,woonomic,Tue Mar 13 23:52:14 +0000 2018,973708344908115968,@TurcoBTC NVT Signal is a skewed NVT geared towards responsiveness. It's responsive enough to call tops and bottoms… https://t.co/0QYauoIE8x,10,0,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,0.7003,0.266,0.0,0.734
6,woonomic,Tue Mar 13 23:42:17 +0000 2018,973705841311232000,"I think $BTC is carving the top of a dead cat here, zigzagging between 9k-12k. Short term it may bounce a little, b… https://t.co/p9yhg0cqsP",243,72,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,-0.5423,0.072,0.171,0.757
7,woonomic,Tue Mar 13 22:48:56 +0000 2018,973692412991188993,"@cburniske @CoinHodl @StellarOrg @NEMofficial @wavesplatform Chris is right in including $XEM, though it's not scri… https://t.co/LpHVe6V26D",17,2,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,0.0,0.0,0.0,1.0
8,woonomic,Sat Mar 10 21:39:44 +0000 2018,972587836435136512,"When @aantonop contracted the Crypto virus he ceased to be able to work, did not leave his house for months and los… https://t.co/PIlX5PJNb1",147,36,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,0.0382,0.05,0.0,0.95
9,woonomic,Fri Mar 09 04:41:49 +0000 2018,971969282161631236,"If I was to pick a network that looks like TCP/IP for Internet native value transfer, that would be the Lightening… https://t.co/Y7R6VDIJXd",101,24,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,0.5994,0.214,0.0,0.786
10,woonomic,Fri Mar 09 04:41:49 +0000 2018,971969279762444289,"And we know programming environments fall into and out of favour, they have specialist use cases, and generally mor… https://t.co/GRFn1pp2fK",11,3,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,0.4404,0.132,0.0,0.868
11,woonomic,Fri Mar 09 04:41:48 +0000 2018,971969277212291073,"The token is simply access to the transport layer below, it has no network effects (apart from liquidity). The prog… https://t.co/Uf7hMLiSm8",12,5,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,-0.296,0.0,0.099,0.901
12,woonomic,Fri Mar 09 04:41:48 +0000 2018,971969274578219009,You can look at blockchain protocols as specialised environments with relatively weak network effects. Example: Eth… https://t.co/pJodnokW5q,15,3,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,-0.4404,0.0,0.153,0.847
13,woonomic,Fri Mar 09 04:41:47 +0000 2018,971969271449378816,A lot of investors are coming in on this widely held wisdom that investing in blockchain protocols are like buying… https://t.co/SGqW4SOm3U,92,23,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,0.7096,0.247,0.0,0.753
14,woonomic,Wed Mar 07 03:54:09 +0000 2018,971232509139869696,@twittersupport please unlock my friend @bradmillscanwho who you locked out for warning users from phishing scams.,0,0,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,-0.1779,0.232,0.262,0.506
15,woonomic,Fri Mar 02 20:05:43 +0000 2018,969665072137031682,"@QwQiao @AriDavidPaul @twobitidiot @mt_1466 @cburniske @VitalikButerin NVT is not derived from MV=PQ, nor is it rel… https://t.co/aCczTeO5nT",0,0,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,0.0,0.0,0.0,1.0
16,woonomic,Fri Mar 02 20:03:10 +0000 2018,969664431591272448,@QwQiao @AriDavidPaul @twobitidiot @mt_1466 @cburniske @VitalikButerin It was the SilkRoad effect. The chart is min… https://t.co/z9UUC1dXdK,0,0,en,Wed Feb 13 05:57:32 +0000 2008,57750,Worldwide roaming mode,0.0,0.0,0.0,1.0
