,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,balajis,Tue Mar 20 00:02:01 +0000 2018,975885132442714112,RT @NeerajKA: Congress is positive on cryptocurrency in new major economic report extensively citing Coin Center work. https://t.co/sCTZdCb…,0,458,en,Wed Nov 06 12:51:04 +0000 2013,81397,"Stanford, CA",0.5574,0.175,0.0,0.825
1,balajis,Sun Mar 18 03:58:11 +0000 2018,975219791353888770,"“It’s a commercial. Amazon, you just invented a commercial!” https://t.co/XFoWffSKTt",63,10,en,Wed Nov 06 12:51:04 +0000 2013,81397,"Stanford, CA",0.2481,0.222,0.0,0.778
2,balajis,Sun Mar 18 03:44:32 +0000 2018,975216355782742017,"For Amazon, feature films are the new commercials.
https://t.co/Z7z1Vz0UsB https://t.co/rjCpYpvvaQ",323,115,en,Wed Nov 06 12:51:04 +0000 2013,81397,"Stanford, CA",0.1779,0.159,0.0,0.841
3,balajis,Sat Mar 17 23:38:39 +0000 2018,975154478205747200,"RT @jackfru1t: 8% of Americans own crypto. That's

1) more than I would have guessed
2) indicative of still more potential for growth https…",0,159,en,Wed Nov 06 12:51:04 +0000 2013,81397,"Stanford, CA",0.4336,0.115,0.0,0.885
4,balajis,Sun Mar 11 19:30:26 +0000 2018,972917683510394880,"@danrobinson @dwr Article is from 2012/2013. Aereo was a good venture bet: high risk, high reward. Case made it to… https://t.co/t7tZzAtFoX",6,3,en,Wed Nov 06 12:51:04 +0000 2013,81397,"Stanford, CA",0.6705,0.257,0.082,0.661
5,balajis,Sat Mar 10 07:17:47 +0000 2018,972370918373605376,RT @naval: Blockchains are now sucking in top-tier Silicon Valley tech talent faster than any boom since the Internet.,0,1710,en,Wed Nov 06 12:51:04 +0000 2013,81397,"Stanford, CA",0.4215,0.135,0.0,0.865
6,balajis,Wed Mar 07 22:53:45 +0000 2018,971519298354073601,"RT @earndotcom: We just launched a major upgrade to our search engine! 🔎  

Find people using keywords, build custom lists, and pay recipie…",0,43,en,Wed Nov 06 12:51:04 +0000 2013,81397,"Stanford, CA",0.1007,0.081,0.063,0.856
7,balajis,Wed Mar 07 18:31:57 +0000 2018,971453416495988736,@NaithanJones @bhorowitz Maybe could start by publishing the training sets at https://t.co/IAzJfOWZ37,5,1,en,Wed Nov 06 12:51:04 +0000 2013,81397,"Stanford, CA",0.0,0.0,0.0,1.0
8,balajis,Wed Mar 07 18:27:46 +0000 2018,971452360294715393,"@NaithanJones @bhorowitz Yeah, peer review is unfortunately subject to its own share of biases and not a silver bul… https://t.co/PpdZhm8tuL",7,0,en,Wed Nov 06 12:51:04 +0000 2013,81397,"Stanford, CA",0.25,0.193,0.105,0.702
9,balajis,Mon Mar 05 08:19:47 +0000 2018,970574581114142720,"RT @wef: Over 2000 years of economic history, in one chart https://t.co/HQVRxVElcI #economics https://t.co/luY848HFqW",0,553,en,Wed Nov 06 12:51:04 +0000 2013,81397,"Stanford, CA",0.0,0.0,0.0,1.0
