,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,CremeDeLaCrypto,Tue Mar 20 15:14:50 +0000 2018,976114851096309760,We're hiring a couple Associates for Blockchain Capital investment team - great opportunity for the right person.… https://t.co/ULCuLkpY3K,122,26,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.7845,0.33,0.0,0.67
1,CremeDeLaCrypto,Mon Mar 19 01:44:48 +0000 2018,975548613261647877,RT @pbartstephens: .@jimmysong 's 'Programming Blockchain' Will Change How You See Bitcoin https://t.co/uVVB3zrbZy via @CoinDesk,0,40,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.0,0.0,0.0,1.0
2,CremeDeLaCrypto,Fri Mar 16 15:38:11 +0000 2018,974671174213906432,@nic__carter Misleading*,0,0,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.0,0.0,0.0,1.0
3,CremeDeLaCrypto,Fri Mar 16 15:37:52 +0000 2018,974671095910383616,"@nic__carter Deleting to avoid misreading,  but preserving for transparency https://t.co/HqXv4oEFnw",4,1,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",-0.1531,0.0,0.151,0.849
4,CremeDeLaCrypto,Fri Mar 16 15:36:01 +0000 2018,974670631747727360,RT @nic__carter: @CremeDeLaCrypto I'm reading this as them removing wallets for coins that don't have active markets on trex – I don't thin…,0,2,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",-0.3089,0.0,0.101,0.899
5,CremeDeLaCrypto,Fri Mar 16 15:35:53 +0000 2018,974670595525771265,@nic__carter I think you're right,0,0,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.0,0.0,0.0,1.0
6,CremeDeLaCrypto,Thu Mar 15 18:23:39 +0000 2018,974350428434456576,"@36fJea Scammer impersonating me, note the handle (not mine)",0,0,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.0,0.0,0.0,1.0
7,CremeDeLaCrypto,Thu Mar 15 18:23:14 +0000 2018,974350323568361472,@36fJea SCAM SCAM SCAM SCAM SCAMMER STOP IMPERSONATING ME,1,0,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",-0.9708,0.0,0.838,0.162
8,CremeDeLaCrypto,Thu Mar 15 17:52:37 +0000 2018,974342620867715073,RT @jhamel: The Category Creator will save us all ! #Bitcoin BBC News - Platypus milk: How it could combat superbugs https://t.co/EByRECCNt…,0,1,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.2714,0.146,0.1,0.753
9,CremeDeLaCrypto,Thu Mar 15 16:45:46 +0000 2018,974325795777753088,@jpiano05 Time horizon. 6 month windows are almost entirely meaningless. Expand the horizon!,10,0,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",-0.2244,0.149,0.207,0.644
10,CremeDeLaCrypto,Thu Mar 15 16:41:43 +0000 2018,974324776150839296,@mosessampaul @EmmanuelAmber @blockchainedind @aantonop Bigger on-ramps are helpful,1,0,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.4215,0.286,0.0,0.714
11,CremeDeLaCrypto,Thu Mar 15 16:16:20 +0000 2018,974318390218129410,"For most people, crypto will be a joke...until it isn't.",757,145,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.0,0.0,0.0,1.0
12,CremeDeLaCrypto,Thu Mar 15 16:05:12 +0000 2018,974315588184023040,"I think this @coinbase and @Barclays deal is heavily under-appreciated -- it's a big deal! 

The dominoes are tippi… https://t.co/Td4wJm4mY4",483,187,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.0,0.0,0.0,1.0
13,CremeDeLaCrypto,Thu Mar 15 14:55:47 +0000 2018,974298115955073024,"Econ 101: Cartels are hard to maintain when there's a strong incentive to break rank. 

Ask OPEC.

https://t.co/MOcH6EvG02",74,28,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.6597,0.274,0.066,0.66
14,CremeDeLaCrypto,Thu Mar 15 14:43:48 +0000 2018,974295103543033857,🔥🔥🔥 https://t.co/bEIwvUrFPt,16,5,und,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.0,0.0,0.0,1.0
15,CremeDeLaCrypto,Wed Mar 14 23:35:34 +0000 2018,974066535697326080,@blockchainjoy Nailed it!,1,0,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.0,0.0,0.0,1.0
16,CremeDeLaCrypto,Wed Mar 14 23:34:28 +0000 2018,974066261247193090,"Wow, finally got around to listening to @wences on Unchained with @laurashin, great episode! Wences always thoughtf… https://t.co/9goIzWHcO2",113,24,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.8478,0.339,0.0,0.661
17,CremeDeLaCrypto,Wed Mar 14 23:27:33 +0000 2018,974064519101075458,Goal-seeking for low fees on any blockchain will drive bad engineering decisions.,41,1,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",-0.6808,0.0,0.359,0.641
18,CremeDeLaCrypto,Wed Mar 14 17:53:30 +0000 2018,973980454079496192,"The horrifying nature of capitalism...

/s https://t.co/Ysabs5xlUl",145,45,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",-0.5719,0.0,0.381,0.619
19,CremeDeLaCrypto,Wed Mar 14 17:28:21 +0000 2018,973974123033477120,"Weren't you the one pumping a new obscure coin each day?

Also, crypto was born into chaos and thrives in that envi… https://t.co/xkxdVobO3k",230,23,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",-0.5719,0.0,0.15,0.85
20,CremeDeLaCrypto,Tue Mar 20 15:14:50 +0000 2018,976114851096309760,We're hiring a couple Associates for Blockchain Capital investment team - great opportunity for the right person.… https://t.co/ULCuLkpY3K,122,26,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.7845,0.33,0.0,0.67
21,CremeDeLaCrypto,Mon Mar 19 01:44:48 +0000 2018,975548613261647877,RT @pbartstephens: .@jimmysong 's 'Programming Blockchain' Will Change How You See Bitcoin https://t.co/uVVB3zrbZy via @CoinDesk,0,40,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.0,0.0,0.0,1.0
22,CremeDeLaCrypto,Fri Mar 16 15:38:11 +0000 2018,974671174213906432,@nic__carter Misleading*,0,0,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.0,0.0,0.0,1.0
23,CremeDeLaCrypto,Fri Mar 16 15:37:52 +0000 2018,974671095910383616,"@nic__carter Deleting to avoid misreading,  but preserving for transparency https://t.co/HqXv4oEFnw",4,1,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",-0.1531,0.0,0.151,0.849
24,CremeDeLaCrypto,Fri Mar 16 15:36:01 +0000 2018,974670631747727360,RT @nic__carter: @CremeDeLaCrypto I'm reading this as them removing wallets for coins that don't have active markets on trex – I don't thin…,0,2,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",-0.3089,0.0,0.101,0.899
25,CremeDeLaCrypto,Fri Mar 16 15:35:53 +0000 2018,974670595525771265,@nic__carter I think you're right,0,0,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.0,0.0,0.0,1.0
26,CremeDeLaCrypto,Thu Mar 15 18:23:39 +0000 2018,974350428434456576,"@36fJea Scammer impersonating me, note the handle (not mine)",0,0,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.0,0.0,0.0,1.0
27,CremeDeLaCrypto,Thu Mar 15 18:23:14 +0000 2018,974350323568361472,@36fJea SCAM SCAM SCAM SCAM SCAMMER STOP IMPERSONATING ME,1,0,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",-0.9708,0.0,0.838,0.162
28,CremeDeLaCrypto,Thu Mar 15 17:52:37 +0000 2018,974342620867715073,RT @jhamel: The Category Creator will save us all ! #Bitcoin BBC News - Platypus milk: How it could combat superbugs https://t.co/EByRECCNt…,0,1,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",0.2714,0.146,0.1,0.753
29,CremeDeLaCrypto,Thu Mar 15 16:45:46 +0000 2018,974325795777753088,@jpiano05 Time horizon. 6 month windows are almost entirely meaningless. Expand the horizon!,10,0,en,Thu Jan 28 15:51:55 +0000 2016,73652,"San Francisco, CA",-0.2244,0.149,0.207,0.644
