,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,NickSzabo4,Tue Mar 20 20:53:52 +0000 2018,976200173473820672,RT @kashhill: Recent news also made me visit the FB page for deciding what info you share with apps: https://t.co/5Ae6mva70m You might want…,0,24,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.296,0.091,0.0,0.909
1,NickSzabo4,Tue Mar 20 20:50:34 +0000 2018,976199340019494912,"RT @lightcoin: Very cool initiative: ""The goal of vipnode is... creating a financial incentive for more people to run full nodes and serve…",0,4,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.7425,0.277,0.0,0.723
2,NickSzabo4,Tue Mar 20 20:28:56 +0000 2018,976193896454631424,RT @jochemin: #Bitcoin node (#bitcoind) + #LightningNetwork (#LND) fully automated installation script for #Raspberry. (External usb hard d…,0,55,en,Sun Jun 15 01:56:14 +0000 2014,194187,,-0.1027,0.0,0.08,0.92
3,NickSzabo4,Tue Mar 20 20:06:49 +0000 2018,976188330055368704,"RT @girevikcap: No, a blockchain is not the solution to whatever random problem you read about in the news today. https://t.co/CrwcDMuIms",0,40,en,Sun Jun 15 01:56:14 +0000 2014,194187,,-0.7061,0.0,0.288,0.712
4,NickSzabo4,Tue Mar 20 20:06:06 +0000 2018,976188148915978240,RT @Xentagz: Liechtenstein citizens now able to buy Crypto directly from the banks https://t.co/HWsWPf8ycq https://t.co/L29uY2CoRP,0,256,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.0,0.0,0.0,1.0
5,NickSzabo4,Tue Mar 20 18:58:08 +0000 2018,976171048197529600,RT @tclementsuk: It's critical people get to grips with the conceptual distinction between endorsing someone's views and defending their ri…,0,70,en,Sun Jun 15 01:56:14 +0000 2014,194187,,-0.3182,0.0,0.108,0.892
6,NickSzabo4,Tue Mar 20 18:47:50 +0000 2018,976168454372835328,"RT @KANE2028: Can you spot the difference between an Orwellian Police State and the United Kingdom?

Neither can I. https://t.co/z8O8TXXN6R",0,760,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.4215,0.128,0.0,0.872
7,NickSzabo4,Tue Mar 20 17:00:46 +0000 2018,976141509773770752,"RT @kcoleman: OH (from an awesome Lyft driver): “Today has been great. I’ve been blessed by the algorithm.”

Immediately had an eerie feeli…",0,4860,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.891,0.36,0.074,0.565
8,NickSzabo4,Tue Mar 20 13:21:56 +0000 2018,976086440885940226,"RT @TaylorPearsonMe: “When it comes to strangers, human judgment is often far less verifiable, and thus far less accountable, than an algor…",0,12,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.0,0.0,0.0,1.0
9,NickSzabo4,Tue Mar 20 13:18:39 +0000 2018,976085614314512386,"RT @MattPirkowski: It used to be the fundamentalist Christians who hated my deeply evolutionary perspective.

Now it seems to be the radica…",0,187,en,Sun Jun 15 01:56:14 +0000 2014,194187,,-0.6369,0.0,0.167,0.833
10,NickSzabo4,Tue Mar 20 12:58:52 +0000 2018,976080632676728842,RT @CraftyDeano: The dark patterns @facebook use to get me to give access to my personal contacts in Messenger is pretty sickening and shou…,0,1743,en,Sun Jun 15 01:56:14 +0000 2014,194187,,-0.0516,0.112,0.119,0.769
11,NickSzabo4,Tue Mar 20 12:55:13 +0000 2018,976079715084640261,RT @rhyssaxton602: The Crypto Twitter genesis block: https://t.co/PANnDrkmvY,0,60,en,Sun Jun 15 01:56:14 +0000 2014,194187,,-0.4404,0.0,0.293,0.707
12,NickSzabo4,Tue Mar 20 12:48:10 +0000 2018,976077941225406466,"RT @darylginn: How I feel when I enter a website for the first time and get asked to subscribe to a newsletter, to enable notifications, if…",0,470,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.0,0.0,0.0,1.0
13,NickSzabo4,Fri Mar 16 02:37:26 +0000 2018,974474692386934784,"Specific cycles may keep bitcoin circulating on Lightning, conserving on main chain transaction fees:… https://t.co/O3iYrHH5xO",171,44,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.0,0.0,0.0,1.0
14,NickSzabo4,Fri Mar 16 01:19:04 +0000 2018,974454971474239488,"RT @huntermmonk: ""Typical computers are computational etch-a-sketch, while blockchains are computational amber."" - @NickSzabo4",0,18,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.0,0.0,0.0,1.0
15,NickSzabo4,Thu Mar 15 23:01:41 +0000 2018,974420399810265088,"@blockBUNow That stuff is a higher layer ""protocol"", not necessary for the good functioning of the money itself, ju… https://t.co/PFNT0uv1Lj",3,2,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.4404,0.139,0.0,0.861
16,NickSzabo4,Thu Mar 15 22:38:35 +0000 2018,974414585015894016,@ColbySerpa Best done two people at a time.,3,2,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.6369,0.412,0.0,0.588
17,NickSzabo4,Thu Mar 15 22:31:46 +0000 2018,974412870489292800,"Traditional contracts, property deeds, wills, etc. are private law, ""drafted by private persons rather than politic… https://t.co/x2MZcViobW",405,129,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.0,0.0,0.0,1.0
18,NickSzabo4,Thu Mar 15 22:11:22 +0000 2018,974407734970888192,RT @anguschampion: BREAKING: blockchain company actually ships product solving actual problem; raises a normal amount of funding https://t.…,0,335,en,Sun Jun 15 01:56:14 +0000 2014,194187,,-0.0772,0.119,0.134,0.746
19,NickSzabo4,Thu Mar 15 22:09:40 +0000 2018,974407308770856961,@ricburton @byrongibson Good luck collecting.,19,1,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.7096,0.663,0.0,0.337
20,NickSzabo4,Tue Mar 20 20:53:52 +0000 2018,976200173473820672,RT @kashhill: Recent news also made me visit the FB page for deciding what info you share with apps: https://t.co/5Ae6mva70m You might want…,0,24,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.296,0.091,0.0,0.909
21,NickSzabo4,Tue Mar 20 20:50:34 +0000 2018,976199340019494912,"RT @lightcoin: Very cool initiative: ""The goal of vipnode is... creating a financial incentive for more people to run full nodes and serve…",0,4,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.7425,0.277,0.0,0.723
22,NickSzabo4,Tue Mar 20 20:28:56 +0000 2018,976193896454631424,RT @jochemin: #Bitcoin node (#bitcoind) + #LightningNetwork (#LND) fully automated installation script for #Raspberry. (External usb hard d…,0,55,en,Sun Jun 15 01:56:14 +0000 2014,194187,,-0.1027,0.0,0.08,0.92
23,NickSzabo4,Tue Mar 20 20:06:49 +0000 2018,976188330055368704,"RT @girevikcap: No, a blockchain is not the solution to whatever random problem you read about in the news today. https://t.co/CrwcDMuIms",0,40,en,Sun Jun 15 01:56:14 +0000 2014,194187,,-0.7061,0.0,0.288,0.712
24,NickSzabo4,Tue Mar 20 20:06:06 +0000 2018,976188148915978240,RT @Xentagz: Liechtenstein citizens now able to buy Crypto directly from the banks https://t.co/HWsWPf8ycq https://t.co/L29uY2CoRP,0,256,en,Sun Jun 15 01:56:14 +0000 2014,194187,,0.0,0.0,0.0,1.0
25,NickSzabo4,Tue Mar 20 18:58:08 +0000 2018,976171048197529600,RT @tclementsuk: It's critical people get to grips with the conceptual distinction between endorsing someone's views and defending their ri…,0,70,en,Sun Jun 15 01:56:14 +0000 2014,194187,,-0.3182,0.0,0.108,0.892
