,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,starkness,Tue Mar 20 20:52:34 +0000 2018,976199846058065921,@alfiansibarani @jack @lightning Found it! https://t.co/V5i7Cq59fv,2,0,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.0,0.0,0.0,1.0
1,starkness,Tue Mar 20 20:33:38 +0000 2018,976195077776134144,@alfiansibarani @jack @lightning Hoping there's a video! 🤞,5,0,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.4753,0.382,0.0,0.618
2,starkness,Tue Mar 20 20:19:57 +0000 2018,976191636160958464,"@danieldoherty @jack Wow, thank you! 👩🏻‍💻",2,1,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.7644,0.622,0.0,0.378
3,starkness,Tue Mar 20 18:50:36 +0000 2018,976169150249820160,"@juscamarena @theinstagibbs @ziggamon @aantonop @bitPico Not clear who it is, and also @alexbosworth said he's not… https://t.co/OhBCOKSF7Q",9,3,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.3818,0.14,0.0,0.86
4,starkness,Tue Mar 20 17:28:54 +0000 2018,976148589805150208,"RT @spudowiar: @gummatt @0xEval @LedgerHQ Well, I am 15. I don't believe you need lots of experience to find security vulnerabilities.",0,27,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.4404,0.204,0.072,0.724
5,starkness,Tue Mar 20 17:22:14 +0000 2018,976146912335208449,"RT @spudowiar: Full technical write-up, video demonstration and proof-of-concept code for @LedgerHQ hardware wallet vulnerability.

https:/…",0,503,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,-0.128,0.081,0.11,0.809
6,starkness,Tue Mar 20 17:17:18 +0000 2018,976145669692866560,@BiellaColeman @max_read cc @hackers_party @fredbenenson @arikia,1,0,und,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.0,0.0,0.0,1.0
7,starkness,Tue Mar 20 16:03:41 +0000 2018,976127142709813248,@AriannaSimpson @TessierAshpoo1 @jimmysong @naval @bitstein @pierre_rochard @lopp @AaronvanW @kyletorpey… https://t.co/Il9cHrijb0,18,0,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.0,0.0,0.0,1.0
8,starkness,Tue Mar 20 15:07:59 +0000 2018,976113125844922368,@Hugaldinho @gwestr He's my cofounder in the bitcoin startup and lead developer on our Lightning implementation. 😜,2,0,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.0,0.0,0.0,1.0
9,starkness,Tue Mar 20 15:06:43 +0000 2018,976112807035863041,@TessierAshpoo1 @jimmysong @naval @bitstein @pierre_rochard @lopp @AaronvanW @kyletorpey @real_vijay @jfnewbery… https://t.co/WQC5TZgOfq,13,0,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.0,0.0,0.0,1.0
10,starkness,Tue Mar 20 08:16:02 +0000 2018,976009456126316546,@PaavoCoin @jimmysong @naval @bitstein @pierre_rochard @lopp @AaronvanW @kyletorpey @real_vijay @jfnewbery @hrdng… https://t.co/uzPDRC5nen,1,0,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.0,0.0,0.0,1.0
11,starkness,Tue Mar 20 07:32:41 +0000 2018,975998548083859456,@jimmysong @naval @bitstein @pierre_rochard @lopp @AaronvanW @kyletorpey @real_vijay @jfnewbery @hrdng People who s… https://t.co/bylokTzw1i,64,6,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.0,0.0,0.0,1.0
12,starkness,Mon Mar 19 20:00:00 +0000 2018,975824228380418048,@Hugaldinho @gwestr https://t.co/nYzawAUc2q,7,0,und,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.0,0.0,0.0,1.0
13,starkness,Mon Mar 19 18:19:01 +0000 2018,975798815264358400,@AriDavidPaul Me too! ⚡️⚡️⚡️,132,4,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.0,0.0,0.0,1.0
14,starkness,Mon Mar 19 18:00:59 +0000 2018,975794277014847491,"@gwestr Nope, not even close to the truth.

(P.S. I have a bitcoin startup and went to law school. 🙃)",209,11,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.3182,0.119,0.0,0.881
15,starkness,Mon Mar 19 16:30:02 +0000 2018,975771389096476672,@epturney @morrisonbrett @lightning This isn't mining and there's no reason why you can't run a Lightning node in N… https://t.co/uIc1HsocL8,2,0,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,-0.296,0.0,0.109,0.891
16,starkness,Sun Mar 18 21:24:21 +0000 2018,975483066205556736,RT @neha: This talk is kind of amazing. Lots of interesting advice based on experience building and running a product with users! @tayvano_…,0,36,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.7579,0.245,0.0,0.755
17,starkness,Sun Mar 18 21:07:04 +0000 2018,975478718926761984,@neha @tayvano_ Couldn't agree more! 🙌,11,0,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,-0.3404,0.0,0.375,0.625
18,starkness,Sun Mar 18 19:17:18 +0000 2018,975451092895985664,"@brianchoffman Yup, zap is a front end UI on top of lnd. :)",5,0,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.5859,0.324,0.0,0.676
19,starkness,Sun Mar 18 18:54:39 +0000 2018,975445395043057665,@brianchoffman See thread. :) https://t.co/xjcnGL5IAt,11,1,en,Sun Mar 25 17:11:00 +0000 2007,65895,sf + brooklyn,0.4588,0.429,0.0,0.571
