,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,RonnieMoas,Tue Mar 20 20:56:22 +0000 2018,976200798974758913,@brockpierce Hey Brock ... I am co-headlining with you in #LasVegas at World Crypto Con I am the one who you are lo… https://t.co/00FVhRmrZ1,2,1,en,Tue Nov 05 23:14:23 +0000 2013,41766,,0.0,0.0,0.0,1.0
1,RonnieMoas,Tue Mar 20 20:47:34 +0000 2018,976198585132908544,RT @PhillipNunnUK: G20 just ended great for $crypto...if you are not buying now just wait and buy at 12k next week 🚀😜,0,17,en,Tue Nov 05 23:14:23 +0000 2013,41766,,0.6249,0.163,0.0,0.837
2,RonnieMoas,Tue Mar 20 20:47:16 +0000 2018,976198509127979008,"@PhillipNunnUK $28,000",1,0,und,Tue Nov 05 23:14:23 +0000 2013,41766,,0.0,0.0,0.0,1.0
3,RonnieMoas,Tue Mar 20 20:42:13 +0000 2018,976197240443285504,Hands down ... one of the best ... if not the best #podcast I have listened to so far. Take a bow Travis Wright ...… https://t.co/32U6qDAx7u,10,2,en,Tue Nov 05 23:14:23 +0000 2013,41766,,0.8555,0.276,0.0,0.724
4,RonnieMoas,Tue Mar 20 20:31:41 +0000 2018,976194591073492992,"#ACDC ... Let's Go ( Vamos ) !!!!!!!!!!!!!!!! https://t.co/fqRTbAKMZF ... $BTC $28,000 #bitcoin",14,1,en,Tue Nov 05 23:14:23 +0000 2013,41766,,0.0,0.0,0.0,1.0
5,RonnieMoas,Tue Mar 20 20:29:48 +0000 2018,976194113644171266,RT @Eavesy91: @RonnieMoas  https://t.co/R7XBxmOjI1,0,2,und,Tue Nov 05 23:14:23 +0000 2013,41766,,0.0,0.0,0.0,1.0
6,RonnieMoas,Tue Mar 20 16:55:12 +0000 2018,976140108255678464,RT @RonnieMoas: People are being played for fools by tech analyst sell signals that you are paying for / #bitcoin price is being manipulate…,0,100,en,Tue Nov 05 23:14:23 +0000 2013,41766,,-0.2023,0.09,0.12,0.789
7,RonnieMoas,Tue Mar 20 16:55:04 +0000 2018,976140075368099841,RT @RonnieMoas: I reiterate my position from last year ... we are very close to the day where governments make statements regarding a perce…,0,33,en,Tue Nov 05 23:14:23 +0000 2013,41766,,0.0,0.0,0.0,1.0
8,RonnieMoas,Tue Mar 20 10:31:20 +0000 2018,976043505607954432,@DavidMadow Thanks ... I had a few hundred vinyl records and cassettes ... but eventually I replaced them with cds.,2,1,en,Tue Nov 05 23:14:23 +0000 2013,41766,,0.2382,0.109,0.0,0.891
9,RonnieMoas,Tue Mar 20 10:06:01 +0000 2018,976037134464319490,"@DavidMadow ... are you insinuating that I am lying or exaggerating? Yes ... I do have more than 1,500 cds. Many fr… https://t.co/1Adhir9LhP",2,1,en,Tue Nov 05 23:14:23 +0000 2013,41766,,-0.34,0.105,0.198,0.698
