,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,PeterLBrandt,Tue Mar 20 15:47:12 +0000 2018,976122997441466368,@coinjunky Very true statement as pertains to patterns on intraday shorter time frames. These patterns are intended to fail.,13,0,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,-0.1045,0.131,0.148,0.721
1,PeterLBrandt,Tue Mar 20 15:45:17 +0000 2018,976122514580623360,@coinjunky Also a way to get a few people in right position,13,1,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.0,0.0,0.0,1.0
2,PeterLBrandt,Tue Mar 20 14:50:05 +0000 2018,976108623821602816,"@KingThies If I was a big enough chump to ""time stamp"" replies, yours would be a good candidate",7,0,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.4404,0.172,0.0,0.828
3,PeterLBrandt,Tue Mar 20 14:42:11 +0000 2018,976106634471620609,Markets always have a way to surprise and confound conventional wisdom. A decline to 13.84 in Silver would certainl… https://t.co/aom5Cp5Itb,106,25,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.6705,0.256,0.0,0.744
4,PeterLBrandt,Tue Mar 20 02:42:55 +0000 2018,975925624136024064,I am short Gold. 1308 taken out we go to 1225 https://t.co/iG13IXew8f,232,56,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.0,0.0,0.0,1.0
5,PeterLBrandt,Mon Mar 19 22:42:37 +0000 2018,975865150895898625,@forrestpump I generally do not place any value on intraday chart patterns unless the intraday pattern came at the… https://t.co/ZiRXCgE8Lr,5,0,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,-0.2584,0.0,0.102,0.898
6,PeterLBrandt,Mon Mar 19 22:18:18 +0000 2018,975859030332592128,@protechtor That is actually a very outstanding win rate. The 70% to 90% win rates squawked about on Twitter is 90% BS,19,0,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.9253,0.409,0.0,0.591
7,PeterLBrandt,Mon Mar 19 22:15:21 +0000 2018,975858291573014528,@WolfofCoinEx I refuse to stoop down to the level of memes.,34,1,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,-0.296,0.0,0.196,0.804
8,PeterLBrandt,Mon Mar 19 22:05:00 +0000 2018,975855684301611008,Always an amusement to me when tweeters go out of their way to remind me of bad calls. Sorry  both profits and losses are part of trading.,854,63,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,-0.2732,0.155,0.215,0.63
9,PeterLBrandt,Mon Mar 19 16:47:10 +0000 2018,975775698911662081,"I hate to be the bearer of bad news to some of you, but taking losses is the primary job description of a market speculator.",805,161,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,-0.7992,0.0,0.29,0.71
10,PeterLBrandt,Mon Mar 19 13:52:36 +0000 2018,975731769315151872,"Blog Post: ""Forex Ideas"" - https://t.co/cHk4qzAx6e    #Forex #trading https://t.co/UrwfJeq2X0",45,15,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.0,0.0,0.0,1.0
11,PeterLBrandt,Mon Mar 19 13:39:00 +0000 2018,975728346763022337,"Traders deal in possibilities. I am emotionally agnostic on most trades  if they work, fine, if they dont work, then on to the next trade",405,64,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.2023,0.073,0.0,0.927
12,PeterLBrandt,Sun Mar 18 22:35:04 +0000 2018,975500865753632768,@7wis7edfa7e Actually could end up as a possible constructive candlestick set up in LTC,6,0,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.0,0.0,0.0,1.0
13,PeterLBrandt,Sun Mar 18 21:07:39 +0000 2018,975478864032931840,@pierrelegrain @MathsDegree If you are in the UK you can short it via a CFD or on some exchanges against tether. I… https://t.co/h3K6oSjyuh,3,0,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.0,0.0,0.0,1.0
14,PeterLBrandt,Sun Mar 18 14:13:36 +0000 2018,975374665844584449,#Bitcoin $btcusd approaching second lowest close (UTC time) in four months https://t.co/ezOa6lVgvS,266,115,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,-0.3818,0.0,0.191,0.809
15,PeterLBrandt,Sun Mar 18 14:11:31 +0000 2018,975374140130537472,Ethereum hits 3+ month lows. $ETHUSD https://t.co/hEU9KRG9Lj,305,82,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,-0.2023,0.0,0.231,0.769
16,PeterLBrandt,Sun Mar 18 04:16:38 +0000 2018,975224434226180097,@VailshireCap you moving,2,0,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.0,0.0,0.0,1.0
17,PeterLBrandt,Sun Mar 18 01:50:07 +0000 2018,975187561172713472,@YosefOlivera Anything is possible and nothing would really surprise me.,5,0,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,-0.2572,0.0,0.184,0.816
18,PeterLBrandt,Sat Mar 17 23:38:47 +0000 2018,975154509877047297,"A Premium #Factormembers post was issued ""Factor Alert, March 17, 2018 — Australian Dollar weakness"".   Please see… https://t.co/TpsLafPPu6",25,4,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.5423,0.243,0.0,0.757
19,PeterLBrandt,Sat Mar 17 23:38:46 +0000 2018,975154505196232706,"A Premium #Factormembers post was issued ""Factor Special Report — Trade Entry and Exit Tactics"".   Please see here… https://t.co/ohycdKuFSx",19,5,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.6124,0.25,0.0,0.75
20,PeterLBrandt,Tue Mar 20 15:47:12 +0000 2018,976122997441466368,@coinjunky Very true statement as pertains to patterns on intraday shorter time frames. These patterns are intended to fail.,13,0,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,-0.1045,0.131,0.148,0.721
21,PeterLBrandt,Tue Mar 20 15:45:17 +0000 2018,976122514580623360,@coinjunky Also a way to get a few people in right position,13,1,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.0,0.0,0.0,1.0
22,PeterLBrandt,Tue Mar 20 14:50:05 +0000 2018,976108623821602816,"@KingThies If I was a big enough chump to ""time stamp"" replies, yours would be a good candidate",7,0,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.4404,0.172,0.0,0.828
23,PeterLBrandt,Tue Mar 20 14:42:11 +0000 2018,976106634471620609,Markets always have a way to surprise and confound conventional wisdom. A decline to 13.84 in Silver would certainl… https://t.co/aom5Cp5Itb,106,25,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.6705,0.256,0.0,0.744
24,PeterLBrandt,Tue Mar 20 02:42:55 +0000 2018,975925624136024064,I am short Gold. 1308 taken out we go to 1225 https://t.co/iG13IXew8f,232,56,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,0.0,0.0,0.0,1.0
25,PeterLBrandt,Mon Mar 19 22:42:37 +0000 2018,975865150895898625,@forrestpump I generally do not place any value on intraday chart patterns unless the intraday pattern came at the… https://t.co/ZiRXCgE8Lr,5,0,en,Sat Feb 05 18:30:34 +0000 2011,171028,Colorado and Arizona,-0.2584,0.0,0.102,0.898
