,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,Sunchartist,Mon Mar 19 21:23:47 +0000 2018,975845310890049536,Deutsche Bank closes at 52 week low,11,7,en,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,-0.2732,0.0,0.259,0.741
1,Sunchartist,Mon Mar 19 21:21:21 +0000 2018,975844701461872640,RT @lisaabramowicz1: Companies are using the greatest proportion of proceeds from U.S. leveraged loan sales for LBOs since 2007: UBS strate…,0,18,en,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,0.6369,0.174,0.0,0.826
2,Sunchartist,Mon Mar 19 21:17:55 +0000 2018,975843834864189440,Tesla bond closing YTM at the highest level since issue https://t.co/lN7kMwZ8G6,2,1,en,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,0.0,0.0,0.0,1.0
3,Sunchartist,Mon Mar 19 19:14:28 +0000 2018,975812770871459840,Real yield differential : EU - US 10 Year 52 week low,1,0,en,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,-0.2732,0.0,0.189,0.811
4,Sunchartist,Mon Mar 19 19:06:01 +0000 2018,975810641465303040,Narcan  website not responding,0,0,en,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,0.0,0.0,0.0,1.0
5,Sunchartist,Mon Mar 19 19:01:20 +0000 2018,975809464006713344,RT @McClellanOsc: Today's big $FB drop sets up a pretty good looking H&amp;S structure. It even has volume heaviest on the head (notwithstandin…,0,10,en,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,0.6124,0.224,0.077,0.699
6,Sunchartist,Mon Mar 19 19:00:55 +0000 2018,975809359245488128,EURUSD +0.55%,1,1,in,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,0.0,0.0,0.0,1.0
7,Sunchartist,Mon Mar 19 18:40:20 +0000 2018,975804178986500096,RT @BBCWorld: Sex and the City star Cynthia Nixon to run for NY governor https://t.co/0ikBcwTo03,0,187,en,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,0.0,0.0,0.0,1.0
8,Sunchartist,Mon Mar 19 18:39:05 +0000 2018,975803863595810816,RT @L0gg0l: PUTIN ISSUES DECREE ORDERING ALL RESERVISTS TO MOBILIZE FOR TWO MONTH TRAINING -- RIA,0,41,en,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,0.0,0.0,0.0,1.0
9,Sunchartist,Mon Mar 19 18:38:26 +0000 2018,975803702257659905,RT @L0gg0l: SKRIPAL CASE SHOWS LONDON'S READINESS FOR ANY TRICKS TO DISTRACT BRITISH PUBLIC FROM ITS FAILURES AT BREXIT DEAL NEGOTIATIONS W…,0,10,en,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,-0.7324,0.092,0.3,0.607
10,Sunchartist,Mon Mar 19 18:36:17 +0000 2018,975803159133110278,Nasdaq down volume not as intense https://t.co/dhZREbUYZG,2,1,en,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,-0.0572,0.0,0.169,0.831
11,Sunchartist,Mon Mar 19 18:22:56 +0000 2018,975799798405070848,"DXY ⬇️ 0.42% 
USDJPY 🔄
Still Dow is ⬇️",2,0,en,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,0.0,0.0,0.0,1.0
12,Sunchartist,Mon Mar 19 17:48:13 +0000 2018,975791063964123137,Credit leads: no reason why equity should not make a 6 months low,6,3,en,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,0.2991,0.302,0.151,0.547
13,Sunchartist,Mon Mar 19 17:47:17 +0000 2018,975790828135227392,RT @zerohedge: VIX Term Structure Inverts As Dow Dumps Below Key Technical Level https://t.co/2VQqDp8S2n,0,20,en,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,-0.4019,0.0,0.172,0.828
14,Sunchartist,Mon Mar 19 17:39:48 +0000 2018,975788945677082624,TESLA Bond yield up &gt; 100 bps from low and near highs https://t.co/9YcIV2rJgZ,15,6,en,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,-0.2732,0.0,0.149,0.851
15,Sunchartist,Mon Mar 19 17:37:03 +0000 2018,975788252819947520,🤦🏼‍♂️ https://t.co/pqZl1qWED1,3,0,und,Sat Jun 06 17:45:35 +0000 2009,6837,Hong Kong,0.0,0.0,0.0,1.0
