,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,gemini,Wed Jan 18 23:05:10 +0000 2017,8.21856E+17,"Check out our latest newsletter, Inside Trump: https://t.co/h6adDNOopS",1,0,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,0,0,0,1
1,gemini,Wed Sep 07 19:10:18 +0000 2016,7.73599E+17,The Inside Daily Brief is the best way to get all the most interesting news in your inbox daily: https://t.co/bcUer7g4aE,5,0,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,0.8016,0.286,0,0.714
2,gemini,Fri May 06 19:15:13 +0000 2016,7.28664E+17,"The Inside Daily Email Newsletter has passed 20,000 daily subscribers -- check it out!  https://t.co/WvfOnjcyDN",0,1,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,0,0,0,1
3,gemini,Sat Nov 21 01:41:02 +0000 2015,6.6788E+17,Gemini Constellation Holds Starry Treats for March Stargazers https://t.co/inX0CK7sSc via @YahooNews,1,4,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,0,0,0,1
4,gemini,Sat Oct 17 00:41:01 +0000 2015,6.55182E+17,"50 years ago, a Gemini astronaut smuggled a sandwich into space http://t.co/lS3XC9L61f",6,6,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,-0.3612,0,0.217,0.783
5,gemini,Sat Sep 12 00:41:03 +0000 2015,6.42498E+17,How NASA's Gemini Spacecraft Worked (Infographic) https://t.co/n7G77F27xv via @SPACEdotcom,3,0,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,0,0,0,1
6,gemini,Sat Aug 15 00:41:01 +0000 2015,6.32351E+17,"10 Reasons Youâ€™ll Never Forget A Gemini, For Better Or Worse http://t.co/pVWQlDfmCs via @EliteDaily",14,23,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,-0.2732,0.162,0.279,0.559
7,gemini,Sat Jul 18 00:41:06 +0000 2015,6.22204E+17,Cameron and Tyler Winklevoss are working on a regulated bitcoin exchange called Gemini http://t.co/BduoNigJSJ,2,1,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,0,0,0,1
8,gemini,Sat Jun 20 00:41:05 +0000 2015,6.12058E+17,Rare and unseen photos of NASA's Mercury and Gemini space programs are compiled in a new book http://t.co/zsJhCacnpo,4,4,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,0,0,0,1
9,gemini,Tue Jun 09 19:06:03 +0000 2015,6.08349E+17,Download the [ http://t.co/LKJJrs1klC ] app to get the best curated journalism in real time. https://t.co/KyiWGL1EXk,1,0,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,0.6369,0.244,0,0.756
10,gemini,Wed May 13 19:04:06 +0000 2015,5.98564E+17,Download the [ http://t.co/LKJJrs1klC ] app to get the best curated journalism in real time. https://t.co/KyiWGL1EXk,0,0,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,0.6369,0.244,0,0.756
11,gemini,Tue Apr 14 19:03:15 +0000 2015,5.88055E+17,Download the [ http://t.co/LKJJrs1klC ] app to get the best curated journalism in real time. https://t.co/KyiWGL1EXk,0,0,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,0.6369,0.244,0,0.756
12,gemini,Sun Mar 15 19:03:14 +0000 2015,5.77183E+17,Download the [ http://t.co/LKJJrs1klC ] app to get the best curated journalism in real time. https://t.co/KyiWGL1EXk,1,0,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,0.6369,0.244,0,0.756
13,gemini,Wed Mar 11 19:13:04 +0000 2015,5.75736E+17,Download the [ http://t.co/LKJJrs1klC ] app to get the best curated journalism in real time. https://t.co/KyiWGL1EXk,3,0,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,0.6369,0.244,0,0.756
14,gemini,Tue Mar 10 19:11:11 +0000 2015,5.75373E+17,Download the [ http://t.co/LKJJrs1klC ] app to get the best curated journalism in real time. https://t.co/KyiWGL1EXk,0,0,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,0.6369,0.244,0,0.756
15,gemini,Sun Feb 15 20:02:13 +0000 2015,5.67051E+17,Download the [ http://t.co/LKJJrs1klC ] app to get the best curated journalism in real time. https://t.co/KyiWGL1EXk,0,0,en,Tue Mar 27 18:21:24 +0000 2007,22696,Somewhere across the Galaxy,0.6369,0.244,0,0.756
