,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,Korbit,Sat Mar 17 05:13:04 +0000 2018,974876249809022976,@ThePurpleLipstk @StefNicole @tartecosmetics I literally ordered this today 😁😁😁,0,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.0,0.0,0.0,1.0
1,Korbit,Fri Mar 16 21:45:30 +0000 2018,974763615516483584,RT @DonFromOhio: Live look at Aaron Rodgers finding out the Vikings just signed Sheldon Richardson. https://t.co/EcnXcZjlum,0,340,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.0,0.0,0.0,1.0
2,Korbit,Fri Mar 16 19:43:09 +0000 2018,974732822408658944,@Voyageur_Beer @RussoHockey @mnwild Ugh so jelly.... wish we could have made it! Have a blast.,0,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.1206,0.181,0.155,0.664
3,Korbit,Fri Mar 16 18:49:52 +0000 2018,974719415173328897,How can ya just walk by that face! https://t.co/vHTie4Yvbb,0,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.0,0.0,0.0,1.0
4,Korbit,Fri Mar 16 18:25:45 +0000 2018,974713344346107904,When people walk by my shop and see Burt in the doorway and don't smile. I just automatically assume they are a ser… https://t.co/8RS252RY0w,1,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,-0.2755,0.0,0.091,0.909
5,Korbit,Fri Mar 16 14:05:20 +0000 2018,974647808090189825,"RT @jamescharles: we’re in a time right now where real, serious, &amp; disgusting social issues are constantly watered down by people pretendin…",0,2846,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,-0.5719,0.0,0.198,0.802
6,Korbit,Thu Mar 15 19:11:35 +0000 2018,974362490266992640,Alright.... here we go https://t.co/5Gp4Opa1u9,0,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.0,0.0,0.0,1.0
7,Korbit,Thu Mar 15 16:31:36 +0000 2018,974322228706750464,Forced smiles and human interaction.,0,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.0258,0.341,0.33,0.33
8,Korbit,Wed Mar 14 15:08:17 +0000 2018,973938876375973888,Does your body ever run out of tears....asking for a friend,1,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.4939,0.262,0.0,0.738
9,Korbit,Tue Mar 13 22:41:05 +0000 2018,973690440309383168,"RIP Murphdog.
Forever in our hearts https://t.co/yyprMn8EXy",4,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.0,0.0,0.0,1.0
10,Korbit,Tue Mar 13 21:19:15 +0000 2018,973669842690523136,I've never felt this much pain before. My heart is ripped in half,0,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,-0.5106,0.0,0.216,0.784
11,Korbit,Mon Mar 12 20:01:19 +0000 2018,973287845233176579,This is the worst news :(,0,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,-0.7906,0.0,0.636,0.364
12,Korbit,Fri Mar 09 16:41:56 +0000 2018,972150504695349250,@L_likealetter @StefNicole It's in my wishlist as well ! 😂😂,0,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.3382,0.23,0.0,0.77
13,Korbit,Thu Mar 08 20:08:46 +0000 2018,971840167290875904,My poor poor ginger skin is beyond thankful for @StefNicole 's sunscreen video 😍😍 making smarter purchases is my ja… https://t.co/wEbPQm1LNE,8,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.128,0.224,0.207,0.569
14,Korbit,Thu Mar 08 17:47:13 +0000 2018,971804547122323457,"Happy #internationalwomensday ❤ thank you to all the strong women that paved the way before me, and thank you to al… https://t.co/UpSg5N9P9y",2,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.9001,0.414,0.0,0.586
15,Korbit,Mon Mar 05 04:17:39 +0000 2018,970513649239388160,RT @Jaclynhill: My life is insane right now. I feel like I need to come up for air!😭,0,1284,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,-0.126,0.128,0.153,0.718
16,Korbit,Sun Mar 04 05:53:42 +0000 2018,970175430081695744,"RT @jackieaina: “a lot of people are at war with themselves, but they’ll battle themselves vicariously through you “",0,3766,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,-0.705,0.0,0.268,0.732
17,Korbit,Sat Feb 24 06:21:18 +0000 2018,967283275235393536,"#uglyduckling #uglyducklingchallange
Bahaha I wish I had access to some of my realllyyyyyy awkward photos. I was/am… https://t.co/5NdMcJx6Z6",2,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.2732,0.156,0.092,0.751
18,Korbit,Wed Feb 21 17:57:48 +0000 2018,966371391355330560,"RT @MayoClinic: #Depression isn't a weakness and you can't simply ""snap out"" of it. Depression may require long-term treatment but don't ge…",0,87,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,-0.1739,0.072,0.102,0.826
19,Korbit,Tue Feb 20 16:26:27 +0000 2018,965986012886220800,RT @nealbrennan: RIP America: Undone by argumentative robots.,0,105,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,-0.3612,0.0,0.263,0.737
20,Korbit,Sat Mar 17 05:13:04 +0000 2018,974876249809022976,@ThePurpleLipstk @StefNicole @tartecosmetics I literally ordered this today 😁😁😁,0,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.0,0.0,0.0,1.0
21,Korbit,Fri Mar 16 21:45:30 +0000 2018,974763615516483584,RT @DonFromOhio: Live look at Aaron Rodgers finding out the Vikings just signed Sheldon Richardson. https://t.co/EcnXcZjlum,0,340,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.0,0.0,0.0,1.0
22,Korbit,Fri Mar 16 19:43:09 +0000 2018,974732822408658944,@Voyageur_Beer @RussoHockey @mnwild Ugh so jelly.... wish we could have made it! Have a blast.,0,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.1206,0.181,0.155,0.664
23,Korbit,Fri Mar 16 18:49:52 +0000 2018,974719415173328897,How can ya just walk by that face! https://t.co/vHTie4Yvbb,0,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,0.0,0.0,0.0,1.0
24,Korbit,Fri Mar 16 18:25:45 +0000 2018,974713344346107904,When people walk by my shop and see Burt in the doorway and don't smile. I just automatically assume they are a ser… https://t.co/8RS252RY0w,1,0,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,-0.2755,0.0,0.091,0.909
25,Korbit,Fri Mar 16 14:05:20 +0000 2018,974647808090189825,"RT @jamescharles: we’re in a time right now where real, serious, &amp; disgusting social issues are constantly watered down by people pretendin…",0,2846,en,Mon Apr 27 21:31:15 +0000 2009,181,Great Falls ,-0.5719,0.0,0.198,0.802
