,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,CoinCorner,Tue Mar 13 10:34:50 +0000 2018,973507672166273025,@Cex Hi CeX team! Do you have a contact email address for you business development team (or similar) with regards t… https://t.co/6tATNY55iX,0,0,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.0,0.0,0.0,1.0
1,CoinCorner,Fri Mar 09 15:47:04 +0000 2018,972136698032410624,"Happy Friday and a very Happy Birthday to one of our wonderful developers, Zakk! 🎉 Birthday buffet anyone?… https://t.co/CoxMqT6jvi",8,1,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.908,0.449,0.0,0.551
2,CoinCorner,Fri Mar 09 11:21:28 +0000 2018,972069854839803906,@onepablo  https://t.co/KuSzj6Hl3r,1,0,und,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.0,0.0,0.0,1.0
3,CoinCorner,Thu Mar 08 11:50:23 +0000 2018,971714743508533250,"@onepablo Hi @onepablo, as far as we aware, our card charges are the lowest in the industry at the moment. Here's a… https://t.co/czDDSqd4n3",1,0,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,-0.5719,0.0,0.183,0.817
4,CoinCorner,Tue Feb 27 17:23:59 +0000 2018,968537206091546624,RT @coincornermolly: Ready for tonight's talk! @CoinCorner #bitcoin https://t.co/jDvKZfvtSz,0,2,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.4199,0.259,0.0,0.741
5,CoinCorner,Thu Feb 22 11:50:44 +0000 2018,966641401952948225,"@vandelay1987 Hi Akli, thank you for letting us know. I am glad to hear that everything has been sorted now for you… https://t.co/wdk6Qb7FKB",1,0,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.6705,0.216,0.0,0.784
6,CoinCorner,Thu Feb 22 09:01:25 +0000 2018,966598792198881282,"@vandelay1987 Hi Akli, we're sorry to hear you have had trouble depositing. Please email support@coincorner.com and… https://t.co/ndjLDlKrRz",0,0,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,-0.1779,0.113,0.197,0.69
7,CoinCorner,Wed Feb 21 12:01:53 +0000 2018,966281821683101697,"RT @GefMongooseIOM: @CoinCorner are an Island based #Bitcoin exchange, &amp; they're here to debunk a few of the key BS myths lingering around…",0,2,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.0,0.0,0.0,1.0
8,CoinCorner,Wed Feb 21 11:23:37 +0000 2018,966272191351443456,RT @CoinCorner: Do you think you've got what it takes to be a Customer Support Assistant at CoinCorner? We're looking for someone who loves…,0,4,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.4019,0.109,0.0,0.891
9,CoinCorner,Tue Feb 20 14:10:30 +0000 2018,965951799382413313,@cryptocotos Customer support inquiries are dealt with by our support team at support@coincorner.com. Please contac… https://t.co/ylszhgyS3S,0,0,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.7717,0.372,0.0,0.628
10,CoinCorner,Mon Feb 19 16:16:23 +0000 2018,965621091757711361,Do you think you've got what it takes to be a Customer Support Assistant at CoinCorner? We're looking for someone w… https://t.co/YweX6RKsTL,5,4,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.4019,0.119,0.0,0.881
11,CoinCorner,Thu Feb 15 16:07:38 +0000 2018,964169339124449285,Our 'Introduction to Bitcoin' talk on Tuesday 27 Feb is now full! If you would like to attend a future bitcoin even… https://t.co/L8fIY7vYpK,2,1,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.4199,0.117,0.0,0.883
12,CoinCorner,Thu Feb 15 11:52:15 +0000 2018,964105069531627521,The CoinCorner website now live again. Thanks for your patience. https://t.co/O4qNco9GXt,0,0,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.4404,0.225,0.0,0.775
13,CoinCorner,Thu Feb 15 11:07:55 +0000 2018,964093912112615425,Please be advised that the CoinCorner website will be down for updates for a short time. We will update this page o… https://t.co/XuXgr5A8E1,1,0,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.3182,0.099,0.0,0.901
14,CoinCorner,Thu Feb 15 09:34:14 +0000 2018,964070335120334848,Curious about Bitcoin? We're holding an 'Introduction to Bitcoin' talk on the #isleofman on Tuesday 27 February. Th… https://t.co/Xa3MqsEhEo,6,3,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.3182,0.113,0.0,0.887
15,CoinCorner,Wed Feb 14 11:08:34 +0000 2018,963731687128608768,"Roses are red, violets are blue, cookies for the team, we love you! #ValentinesDay https://t.co/ymn8oKO5j4",5,1,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.6696,0.243,0.0,0.757
16,CoinCorner,Wed Feb 14 09:14:45 +0000 2018,963703044830650368,'We believe bitcoin's here to stay'. Thanks to @IOMExamBiz for your time last week. Read the full article here: https://t.co/z2s47iYGEJ,6,1,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.4404,0.132,0.0,0.868
17,CoinCorner,Wed Feb 14 08:58:02 +0000 2018,963698838891614208,"RT @IOMExamBiz: Bitcoin is here to stay say the team at #isleofman company @CoinCorner @coincornermolly #bitcoin 
https://t.co/XtgpLKswRX",0,2,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.0,0.0,0.0,1.0
18,CoinCorner,Tue Feb 13 17:18:39 +0000 2018,963462434798424065,We're in the news this week with coverage about @CoinCorner and the future of cryptocurrency in @iomnewspapers. Fin… https://t.co/oU3WRnaMEC,12,4,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.0,0.0,0.0,1.0
19,CoinCorner,Tue Feb 13 11:13:55 +0000 2018,963370645844348929,@zsk Hi Zoe. We are working on an alternative GBP withdrawal method and hope for this to be in place within the nex… https://t.co/NhUtciD2IR,0,0,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.4588,0.154,0.0,0.846
20,CoinCorner,Tue Mar 13 10:34:50 +0000 2018,973507672166273025,@Cex Hi CeX team! Do you have a contact email address for you business development team (or similar) with regards t… https://t.co/6tATNY55iX,0,0,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.0,0.0,0.0,1.0
21,CoinCorner,Fri Mar 09 15:47:04 +0000 2018,972136698032410624,"Happy Friday and a very Happy Birthday to one of our wonderful developers, Zakk! 🎉 Birthday buffet anyone?… https://t.co/CoxMqT6jvi",8,1,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.908,0.449,0.0,0.551
22,CoinCorner,Fri Mar 09 11:21:28 +0000 2018,972069854839803906,@onepablo  https://t.co/KuSzj6Hl3r,1,0,und,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.0,0.0,0.0,1.0
23,CoinCorner,Thu Mar 08 11:50:23 +0000 2018,971714743508533250,"@onepablo Hi @onepablo, as far as we aware, our card charges are the lowest in the industry at the moment. Here's a… https://t.co/czDDSqd4n3",1,0,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,-0.5719,0.0,0.183,0.817
24,CoinCorner,Tue Feb 27 17:23:59 +0000 2018,968537206091546624,RT @coincornermolly: Ready for tonight's talk! @CoinCorner #bitcoin https://t.co/jDvKZfvtSz,0,2,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.4199,0.259,0.0,0.741
25,CoinCorner,Thu Feb 22 11:50:44 +0000 2018,966641401952948225,"@vandelay1987 Hi Akli, thank you for letting us know. I am glad to hear that everything has been sorted now for you… https://t.co/wdk6Qb7FKB",1,0,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.6705,0.216,0.0,0.784
26,CoinCorner,Thu Feb 22 09:01:25 +0000 2018,966598792198881282,"@vandelay1987 Hi Akli, we're sorry to hear you have had trouble depositing. Please email support@coincorner.com and… https://t.co/ndjLDlKrRz",0,0,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,-0.1779,0.113,0.197,0.69
27,CoinCorner,Wed Feb 21 12:01:53 +0000 2018,966281821683101697,"RT @GefMongooseIOM: @CoinCorner are an Island based #Bitcoin exchange, &amp; they're here to debunk a few of the key BS myths lingering around…",0,2,en,Wed Jun 11 10:34:33 +0000 2014,3059,Isle of Man,0.0,0.0,0.0,1.0
