,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,huobicom,Thu Mar 01 05:34:01 +0000 2018,969083314429571072,"RT @Huobi_Pro: LIVE: Invite your friends to watch and get 5,310,000 tokens! Take part live at https://t.co/c7iW4tATRA https://t.co/kg3NK0Q2…",0,21,en,Sun May 11 15:03:44 +0000 2014,64699,Beijing,0.6114,0.238,0.0,0.762
1,huobicom,Thu Mar 01 05:33:42 +0000 2018,969083235719196672,"RT @Huobi_Pro: Huobi Talk: HADAX Chapter 8. Prize pool of 5,058,950 tokens to be shared when the views reached 2,000. Share and invite your…",0,10,en,Sun May 11 15:03:44 +0000 2014,64699,Beijing,0.836,0.365,0.0,0.635
2,huobicom,Thu Mar 01 05:32:23 +0000 2018,969082902846717953,"RT @Huobi_Pro: Huobi Talk: HADAX Chapter 8 (Finale) featuring STB Chain and the release of HADAX results. 
.
.
Watch it at https://t.co/6lG…",0,23,en,Sun May 11 15:03:44 +0000 2014,64699,Beijing,0.0,0.0,0.0,1.0
3,huobicom,Wed Feb 14 03:42:06 +0000 2018,963619330096185344,"RT @Huobi_Pro: #Hadax #Updates as of 13 Feb 2018, 12:00pm(GMT+8)
#Top 3 #ICO projects in latest chart!
1. UUU (U Network) 
2. SHE (#ShineCh…",0,14,en,Sun May 11 15:03:44 +0000 2014,64699,Beijing,0.0,0.0,0.0,1.0
4,huobicom,Wed Feb 14 03:41:51 +0000 2018,963619267601051649,RT @Huobi_Pro: I just published “Ushering Chinese New Year with ‘Trade to Win’ Huobi Token (HT) New Year Draw” https://t.co/XRo7vo6Mo8,0,13,en,Sun May 11 15:03:44 +0000 2014,64699,Beijing,0.0,0.0,0.0,1.0
5,huobicom,Wed Feb 14 03:41:38 +0000 2018,963619213406449664,"RT @Huobi_Pro: Ushering #ChineseNewYear  with “Trade to Win” #HuobiToken (HT) New Year Draw. #Grand Prize of 6,666HT to be #won! To #partic…",0,27,en,Sun May 11 15:03:44 +0000 2014,64699,Beijing,0.5562,0.146,0.0,0.854
6,huobicom,Mon Feb 12 14:24:02 +0000 2018,963056104136572930,"RT @Huobi_Pro: Huobi Talk Episode 19: ""The Future of Crypto Exchange: Centralized or De... https://t.co/yewTVmIqDu 来自 @YouTube",0,3,tl,Sun May 11 15:03:44 +0000 2014,64699,Beijing,0.0,0.0,0.0,1.0
7,huobicom,Mon Feb 12 14:23:53 +0000 2018,963056065800585216,"RT @Huobi_Pro: Do not click on any links provided by Houbi Pro! They are NOT official posts and links provided by @Huobi_Pro 
Please do NOT…",0,10,en,Sun May 11 15:03:44 +0000 2014,64699,Beijing,0.3802,0.097,0.0,0.903
8,huobicom,Mon Feb 12 13:58:20 +0000 2018,963049634837901313,"RT @KyberNetwork: Kyber founder, @loi_luu will be chatting with @Huobi_Pro in 5 hours time! 
They will be doing a Q&amp;A segment after the cha…",0,46,en,Sun May 11 15:03:44 +0000 2014,64699,Beijing,0.0,0.0,0.0,1.0
9,huobicom,Mon Feb 12 13:58:16 +0000 2018,963049617976737792,"RT @HerbertRSim: #LiveStreaming! 
The Future of #Crypto Exchange: Centralized or Decentralized? 💲💰

TODAY, 9pm GMT +8
https://t.co/35cKfueP…",0,6,en,Sun May 11 15:03:44 +0000 2014,64699,Beijing,0.0,0.0,0.0,1.0
