,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,coindesk,Sat Mar 17 15:55:45 +0000 2018,975037985027706882,RT @IBMBlockchain: Are you ready for 72 Hours of #Blockchain hosted by @mattyhoop? Tweet us your questions and we'll answer live starting 3…,0,26,en,Sun Apr 07 07:50:08 +0000 2013,688063,"New York, USA",0.3612,0.102,0.0,0.898
1,coindesk,Sat Mar 17 15:51:29 +0000 2018,975036909390057472,RT @MadBitcoins: G20 attendees worried that #bitcoin could provide “financial freedom” to the world. https://t.co/ZOZHXCVZH2,0,99,en,Sun Apr 07 07:50:08 +0000 2013,688063,"New York, USA",-0.296,0.0,0.136,0.864
2,coindesk,Sat Mar 17 15:50:40 +0000 2018,975036706226343938,RT @FilamentHQ: The report's authors recommend that lawmakers and the public become more familiar with both #cryptocurrencies and the under…,0,32,en,Sun Apr 07 07:50:08 +0000 2013,688063,"New York, USA",0.3612,0.116,0.0,0.884
3,coindesk,Sat Mar 17 12:02:33 +0000 2018,974979298300841984,RT @pete_rizzo_: Excited to be speaking today at #MITBitcoinExpo2018. Fireside w/ @Joi at 10:15. Is he #HODLgang or #craefulgang? Find out!,0,12,en,Sun Apr 07 07:50:08 +0000 2013,688063,"New York, USA",0.4003,0.119,0.0,0.881
4,coindesk,Sat Mar 17 09:41:47 +0000 2018,974943873846964224,The New Ways to Save Crypto from a Post-Quantum World https://t.co/v44Jv2hMPH https://t.co/4VlsQQzDMZ,124,71,en,Sun Apr 07 07:50:08 +0000 2013,688063,"New York, USA",0.4939,0.242,0.0,0.758
5,coindesk,Sat Mar 17 08:54:51 +0000 2018,974932063295033345,Three Definitions of Tokenomics https://t.co/rGBL8V7w9b https://t.co/mi2YTCILkT,62,39,en,Sun Apr 07 07:50:08 +0000 2013,688063,"New York, USA",0.0,0.0,0.0,1.0
6,coindesk,Fri Mar 16 21:36:28 +0000 2018,974761339821395969,Peter Thiel: Bitcoin Will Be the 'One Online Equivalent to Gold' https://t.co/ugGJqwfIEK https://t.co/6YxYpj97KL,930,396,en,Sun Apr 07 07:50:08 +0000 2013,688063,"New York, USA",0.0,0.0,0.0,1.0
7,coindesk,Fri Mar 16 19:48:57 +0000 2018,974734282538221568,SEC Official Says 'Dozens' of Crypto Investigations Underway https://t.co/JJefXPCj3X https://t.co/FpE5iVAWVO,289,195,en,Sun Apr 07 07:50:08 +0000 2013,688063,"New York, USA",0.0,0.0,0.0,1.0
8,coindesk,Fri Mar 16 18:27:26 +0000 2018,974713770709839874,US Trade Regulator Shuts Down Crypto Investment Scheme Promoters https://t.co/lzm59YhMS2 https://t.co/Ir7EaQqsIE,78,60,en,Sun Apr 07 07:50:08 +0000 2013,688063,"New York, USA",0.0,0.0,0.0,1.0
9,coindesk,Fri Mar 16 18:16:07 +0000 2018,974710920520916992,"Kodak Could Earn $5 Million for ICO Brand Licensing Deal
https://t.co/no2SPzz6pm https://t.co/PxgxMidrlK",76,49,en,Sun Apr 07 07:50:08 +0000 2013,688063,"New York, USA",0.0,0.0,0.0,1.0
