,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,ShapeShift_io,Sat Mar 17 16:18:35 +0000 2018,9.75044E+17,@DigiSafeGuard Glad to hear it!,0,0,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0.5093,0.451,0,0.549
1,ShapeShift_io,Sat Mar 17 16:06:00 +0000 2018,9.75041E+17,"ðŸ’¥PRO TIP: The difference between a ""Quick"" and ""Precise"" transaction https://t.co/pVTTg8A7eR",2,0,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0,0,0,1
2,ShapeShift_io,Sat Mar 17 11:33:00 +0000 2018,9.74972E+17,What's the difference between DApps and blockchain platforms? ðŸ˜³ https://t.co/TZglUTB2wh,22,16,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0,0,0,1
3,ShapeShift_io,Sat Mar 17 10:13:00 +0000 2018,9.74952E+17,Have you tried @MyCrypto ? Find out how to use MyCrypto swap feature from our experts here ðŸ˜ŽðŸ’»â¬‡ï¸ https://t.co/Qqbn6eAbMv,14,6,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0,0,0,1
4,ShapeShift_io,Fri Mar 16 19:30:19 +0000 2018,9.7473E+17,Come on over to our @cryptokeepkey booth during @TokenFest today and get a 10% discount code for your next hardwareâ€¦ https://t.co/46TOEOscqg,25,9,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0,0,0,1
5,ShapeShift_io,Fri Mar 16 16:09:46 +0000 2018,9.74679E+17,"@PB_and_J_LITE Hey PeanutBrutha, 
We'd love for you to be able to trade LCC but that requires a bit of research anâ€¦ https://t.co/HCWWu12cU6",2,0,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0.3818,0.115,0,0.885
6,ShapeShift_io,Fri Mar 16 16:06:00 +0000 2018,9.74678E+17,"ðŸ“¸ ShapeShift 101: How to do ""Precise"" order on https://t.co/HkeeUU3mha https://t.co/WM3r9y1tK9",5,2,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0,0,0,1
7,ShapeShift_io,Fri Mar 16 15:59:11 +0000 2018,9.74676E+17,@balance_io Looks great! We can't wait to see it in action!,0,0,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0.6892,0.319,0,0.681
8,ShapeShift_io,Fri Mar 16 11:33:00 +0000 2018,9.74609E+17,Loom Network enables huge games like World of Warcraft to run on blockchain ðŸ‘¾ðŸŽ®https://t.co/q62VrICg8j,19,13,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0.4404,0.271,0.107,0.621
9,ShapeShift_io,Fri Mar 16 10:13:00 +0000 2018,9.74589E+17,Curious about Prism? ðŸ’ŽðŸ¤”https://t.co/QYEqxjtDxO,14,7,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0.3182,0.434,0,0.566
10,ShapeShift_io,Fri Mar 16 02:21:15 +0000 2018,9.74471E+17,We had a great day at @TokenFest ðŸ‘‹ðŸ¦ŠStop by our booth on Friday to get your ShapeShift schwag! #tokenfest https://t.co/VrYCh50V3w,11,3,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0.6588,0.196,0,0.804
11,ShapeShift_io,Fri Mar 16 02:14:07 +0000 2018,9.74469E+17,RT @ErikVoorhees: Great day for Bitcoin: Bitcoin Lightning Startup Goes Beta With Twitter CEO Backing https://t.co/Wh3L0Dq7Bv via @CoinDesk,0,156,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0.6369,0.245,0,0.755
12,ShapeShift_io,Thu Mar 15 23:15:49 +0000 2018,9.74424E+17,"RT @TuurDemeester: Top 10 ranking of most influential Bitcoin exchange brands, by @cryptoinfl: 
1. Coinbase
2. Kraken
3. Bitstamp
4. ShapeSâ€¦",0,60,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0.6115,0.208,0,0.792
13,ShapeShift_io,Thu Mar 15 16:06:02 +0000 2018,9.74316E+17,From our support team: What is a Smart Contract? ðŸ¤”ðŸ’Žhttps://t.co/9aeB0vDefi https://t.co/jQmVdxcZFz,12,4,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0.6597,0.403,0,0.597
14,ShapeShift_io,Thu Mar 15 16:01:53 +0000 2018,9.74315E+17,RT @cryptokeepkey: Made it to to SanFran for @TokenFest with @shapeshift_io ! Come by our booths and say hi! ðŸ¦Šâ›“ðŸ”‘#tokenfest https://t.co/VkQâ€¦,0,16,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0,0,0,1
15,ShapeShift_io,Thu Mar 15 15:58:15 +0000 2018,9.74314E+17,"@H_D_Hirsi @NEO_Blockchain Hello, 
NEO is actually one of our assets but is currently down for maintenance. We wilâ€¦ https://t.co/bF1iZhnLKu",0,0,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0.09,0.07,0,0.93
16,ShapeShift_io,Thu Mar 15 15:49:20 +0000 2018,9.74312E+17,"@jimbo_mr Jim, 
Sometimes we need to take coins down because there are some wallet issues or something is not workâ€¦ https://t.co/IuLy76rdDl",0,0,en,Wed Jun 11 16:53:33 +0000 2014,75253,Blockchainland,0,0,0,1
