,Account,Created,Tweets Count,Start Date,End Date,Followers Count,Account Location
0,novogratz,Sun Feb 01 04:53:57 +0000 2009,340.0,Sun Feb 01 04:55:43 +0000 2009,Sun Mar 18 14:51:49 +0000 2018,80517.0,"New York, NY"
1,JihanWu,Mon Feb 16 17:54:08 +0000 2015,722.0,Mon Mar 09 17:12:43 +0000 2015,Tue Mar 20 06:35:54 +0000 2018,102059.0,"Beijing, China"
2,alexsunnarborg,Sun Mar 15 23:21:24 +0000 2015,848.0,Sun Apr 12 21:40:48 +0000 2015,Mon Mar 12 15:25:29 +0000 2018,25988.0,
3,PerianneDC,Tue Jun 07 17:31:12 +0000 2011,992.0,Fri Jun 26 21:59:04 +0000 2015,Sun Mar 18 00:00:50 +0000 2018,20643.0,"Washington, DC"
4,dan_pantera,Wed Oct 05 00:20:49 +0000 2011,500.0,Tue Jun 30 21:03:46 +0000 2015,Mon Feb 26 16:30:20 +0000 2018,25716.0,California
5,rogerkver,Tue Aug 10 10:48:44 +0000 2010,999.0,Mon Sep 14 15:11:23 +0000 2015,Mon Mar 19 15:38:40 +0000 2018,495654.0,東京 Tokyo
6,wences,Tue May 22 00:36:26 +0000 2007,997.0,Wed Nov 16 17:12:19 +0000 2016,Mon Mar 19 10:00:01 +0000 2018,40397.0,"Palo Alto, California"
7,AriannaSimpson,Thu Mar 17 01:16:24 +0000 2011,1999.0,Tue Nov 08 01:41:30 +0000 2016,Tue Mar 20 19:19:48 +0000 2018,27077.0,San Francisco
8,ljxie,Sat Mar 10 21:59:35 +0000 2012,593.0,Sat Mar 12 20:40:00 +0000 2016,Tue Mar 20 18:22:16 +0000 2018,36672.0,"San Francisco, CA"
9,CryptoHustle,Sat Apr 18 15:43:34 +0000 2015,998.0,Sun Oct 15 19:03:30 +0000 2017,Tue Mar 20 14:33:04 +0000 2018,99442.0,Save 10% off your trading fees with this link
10,adam3us,Mon Nov 08 11:04:10 +0000 2010,2000.0,Wed Oct 25 17:36:13 +0000 2017,Sat Mar 17 19:34:33 +0000 2018,128178.0,Malta
11,cburniske,Thu Mar 17 13:49:42 +0000 2016,2000.0,Mon Oct 30 13:08:59 +0000 2017,Tue Mar 20 20:55:49 +0000 2018,94323.0,"New York, USA"
12,WhalePanda,Tue Sep 09 05:29:24 +0000 2014,1999.0,Sat Oct 07 08:00:15 +0000 2017,Tue Mar 20 19:59:31 +0000 2018,172304.0,Belgium
13,woonomic,Wed Feb 13 05:57:32 +0000 2008,999.0,Thu Jan 12 13:30:37 +0000 2017,Sun Mar 18 04:43:08 +0000 2018,57750.0,Worldwide roaming mode
14,lopp,Tue Mar 10 17:22:20 +0000 2009,2000.0,Thu Nov 02 00:09:02 +0000 2017,Tue Mar 20 21:00:16 +0000 2018,148042.0,Cyberspace
15,onemanatatime,Thu May 20 07:35:40 +0000 2010,1976.0,Fri Nov 24 23:42:53 +0000 2017,Tue Mar 20 19:12:01 +0000 2018,71208.0,Mother Earth
16,SatoshiLite,Wed Apr 09 02:03:48 +0000 2008,3000.0,Tue Nov 28 01:02:51 +0000 2017,Mon Mar 19 11:59:29 +0000 2018,738565.0,
17,balajis,Wed Nov 06 12:51:04 +0000 2013,299.0,Sat Jan 14 05:25:52 +0000 2017,Tue Mar 20 00:02:01 +0000 2018,81397.0,"Stanford, CA"
18,TuurDemeester,Sun May 17 21:39:08 +0000 2009,2000.0,Tue Dec 19 18:35:13 +0000 2017,Tue Mar 20 21:27:34 +0000 2018,154969.0,"Texas, USA"
19,VitalikButerin,Sun May 08 16:03:03 +0000 2011,499.0,Mon Dec 25 15:39:44 +0000 2017,Mon Mar 19 02:51:25 +0000 2018,703368.0,Earth
20,gavinandresen,Wed May 12 13:17:12 +0000 2010,498.0,Thu Mar 02 13:27:06 +0000 2017,Fri Mar 16 13:58:54 +0000 2018,132707.0,"Amherst, MA"
21,CremeDeLaCrypto,Thu Jan 28 15:51:55 +0000 2016,999.0,Thu May 18 15:39:24 +0000 2017,Tue Mar 20 15:14:50 +0000 2018,73652.0,"San Francisco, CA"
22,NickSzabo4,Sun Jun 15 01:56:14 +0000 2014,998.0,Wed Jun 21 22:06:51 +0000 2017,Tue Mar 20 20:53:52 +0000 2018,194187.0,
23,westcoastbill,Wed Jan 24 06:20:18 +0000 2007,994.0,Sun Jun 25 23:53:51 +0000 2017,Tue Mar 20 15:56:22 +0000 2018,30534.0,Ether
24,starkness,Sun Mar 25 17:11:00 +0000 2007,1998.0,Thu Aug 03 03:51:40 +0000 2017,Tue Mar 20 20:52:34 +0000 2018,65895.0,sf + brooklyn
25,barrysilbert,Sat Oct 22 17:16:55 +0000 2011,500.0,Mon Aug 07 20:19:39 +0000 2017,Sun Mar 18 23:41:23 +0000 2018,147817.0,New York
26,RonnieMoas,Tue Nov 05 23:14:23 +0000 2013,2999.0,Wed Aug 09 14:30:18 +0000 2017,Tue Mar 20 20:56:22 +0000 2018,41766.0,
27,CharlieShrem,Tue Mar 03 21:28:46 +0000 2009,989.0,Sat Sep 02 01:44:00 +0000 2017,Tue Mar 20 15:07:44 +0000 2018,138001.0,"Sarasota, FL"
28,aantonop,Thu May 30 06:33:49 +0000 2013,1496.0,Sat Sep 23 19:51:43 +0000 2017,Mon Mar 19 18:07:49 +0000 2018,400623.0,✈︎ 49 countries and counting
29,PeterLBrandt,Sat Feb 05 18:30:34 +0000 2011,3000.0,Thu Sep 07 16:56:27 +0000 2017,Tue Mar 20 15:47:12 +0000 2018,171028.0,Colorado and Arizona
30,Sunchartist,Sat Jun 06 17:45:35 +0000 2009,3219.0,Thu Feb 08 18:04:18 +0000 2018,Mon Mar 19 21:23:47 +0000 2018,6837.0,Hong Kong
