,Account,Created,Tweets Count,Start Date,End Date,Followers Count,Account Location
0,gemini,Tue Mar 27 18:21:24 +0000 2007,168.0,Wed Apr 30 08:51:23 +0000 2008,Wed Jan 18 23:05:10 +0000 2017,22696.0,Somewhere across the Galaxy
1,Korbit,Mon Apr 27 21:31:15 +0000 2009,2470.0,Mon Apr 27 21:34:19 +0000 2009,Sat Mar 17 05:13:04 +0000 2018,181.0,Great Falls 
2,litecoin,Wed Oct 05 18:30:50 +0000 2011,702.0,Sat Oct 08 22:00:22 +0000 2011,Thu Mar 15 23:06:30 +0000 2018,406479.0,
3,btcecom,Wed Aug 10 10:29:50 +0000 2011,1220.0,Wed Aug 10 10:33:57 +0000 2011,Fri Sep 15 20:11:39 +0000 2017,55204.0,
4,bitfinex,Wed Oct 17 13:29:27 +0000 2012,1435.0,Fri Oct 26 15:45:14 +0000 2012,Fri Mar 16 10:55:42 +0000 2018,378277.0,
5,itBit,Mon Jul 23 15:14:19 +0000 2012,2150.0,Mon Nov 11 21:13:24 +0000 2013,Tue Nov 07 21:57:03 +0000 2017,7050.0,New York and Singapore
6,QuadrigaCoinEx,Sat Dec 21 00:11:57 +0000 2013,262.0,Fri Dec 27 19:24:40 +0000 2013,Sun Feb 11 21:16:29 +0000 2018,5577.0,
7,Bitaccess,Sat Dec 28 06:47:29 +0000 2013,821.0,Sat Dec 28 06:58:05 +0000 2013,Tue Feb 27 22:26:56 +0000 2018,9071.0,"San Francisco, Ottawa"
8,Bitstamp,Wed Aug 10 18:49:10 +0000 2011,1999.0,Wed Jan 30 13:15:09 +0000 2013,Fri Mar 16 20:01:06 +0000 2018,287680.0,United Kingdom
9,coinbase,Mon May 07 23:06:31 +0000 2012,1997.0,Fri Mar 22 09:37:53 +0000 2013,Fri Mar 16 21:10:09 +0000 2018,893752.0,"San Francisco, CA"
10,cryptsy,Sat Apr 27 03:04:51 +0000 2013,1446.0,Sun May 19 23:31:31 +0000 2013,Sat Oct 14 14:50:08 +0000 2017,20719.0,
11,krakenfx,Fri May 03 08:03:21 +0000 2013,683.0,Fri May 03 08:09:41 +0000 2013,Mon Mar 12 16:23:17 +0000 2018,274724.0,"San Francisco, CA"
12,bitpanda,Thu Apr 03 15:21:21 +0000 2014,858.0,Thu Oct 09 15:41:42 +0000 2014,Fri Mar 16 22:23:12 +0000 2018,7511.0,"Vienna, Austria"
13,Poloniex,Mon Jan 13 00:59:29 +0000 2014,1133.0,Sun Jan 19 03:44:16 +0000 2014,Thu Mar 08 14:52:02 +0000 2018,162039.0,United States
