,Converted_Date,BTC_Price,novogratz,JihanWu,alexsunnarborg,PerianneDC,dan_pantera,rogerkver,wences,AriannaSimpson,ljxie,CryptoHustle,adam3us,cburniske,WhalePanda,woonomic,lopp,onemanatatime,SatoshiLite,balajis,TuurDemeester,VitalikButerin,gavinandresen,CremeDeLaCrypto,NickSzabo4,westcoastbill,starkness,barrysilbert,RonnieMoas,CharlieShrem,aantonop,PeterLBrandt,Sunchartist
0,2010-08-17,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2010-08-18,0.07400000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2010-08-19,0.0688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2010-08-20,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2010-08-21,0.066899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2010-08-22,0.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2010-08-23,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2010-08-24,0.066889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2010-08-25,0.0665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2010-08-26,0.066499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010-08-27,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2010-08-28,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2010-08-29,0.0648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2010-08-30,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2010-08-31,0.06497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2010-09-01,0.0649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2010-09-02,0.0629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2010-09-03,0.0634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2010-09-04,0.0613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2010-09-05,0.0629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2010-09-06,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2010-09-07,0.06185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2010-09-08,0.06201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2010-09-09,0.0624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2010-09-10,0.06201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2010-09-11,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2010-09-12,0.064999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2010-09-13,0.06201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2010-09-14,0.0641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2010-09-15,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2010-09-16,0.0619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2010-09-17,0.0609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2010-09-18,0.0609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2010-09-19,0.062599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2010-09-20,0.0634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2010-09-21,0.0633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2010-09-22,0.0628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2010-09-23,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2010-09-24,0.06281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2010-09-25,0.0624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2010-09-26,0.062278999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2010-09-27,0.062206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2010-09-28,0.06271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2010-09-29,0.062189999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2010-09-30,0.06192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2010-10-01,0.061999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2010-10-02,0.061999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2010-10-03,0.0614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2010-10-04,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2010-10-05,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2010-10-06,0.0633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2010-10-07,0.0638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2010-10-08,0.08800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2010-10-09,0.12000999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2010-10-10,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2010-10-11,0.1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2010-10-12,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2010-10-13,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2010-10-14,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2010-10-15,0.11900000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2010-10-16,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2010-10-17,0.1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2010-10-18,0.10300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2010-10-19,0.1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2010-10-20,0.10300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2010-10-21,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2010-10-22,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2010-10-23,0.10901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2010-10-24,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2010-10-25,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2010-10-26,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2010-10-27,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2010-10-28,0.19000999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2010-10-29,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2010-10-30,0.1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
